Year,Race,Percentage
2004,White,7
2004,Black,13
2004,Asian,7
2004,Hispanic,10
2005,White,6
2005,Black,13
2005,Asian,6
2005,Hispanic,9
2006,White,5.5
2006,Black,11
2006,Asian,5
2006,Hispanic,8
2007,White,5.5
2007,Black,10.5
2007,Asian,5
2007,Hispanic,9
2008,White,7
2008,Black,13
2008,Asian,6
2008,Hispanic,11
2009,White,11
2009,Black,17
2009,Asian,11.5
2009,Hispanic,17
2010,White,11
2010,Black,19
2010,Asian,11.5
2010,Hispanic,17
2011,White,10
2011,Black,18.5
2011,Asian,11
2011,Hispanic,16
2012,White,9
2012,Black,17
2012,Asian,9
2012,Hispanic,14.5
2013,White,8.5
2013,Black,16
2013,Asian,7.5
2013,Hispanic,13
2014,White,7
2014,Black,14
2014,Asian,7
2014,Hispanic,11